Name,Phone,Address,Latitude,Longitude,Website,Place ID,Category
Temporary Metropolitan Police Division,01-4389653,"P8J5+JH9, Kathmandu 44600, Nepal",27.7315393,85.3089869,,ChIJDwKzh94Y6zkRPljvohyUz68,Police Stations
District Police Range Kathmandu,1660-01-41516,"M8W9+HVF, Kathmandu 44600, Nepal",27.6964456,85.3196676,https://ktmvalley.nepalpolice.gov.np/structure/police-range-kathmandu/,ChIJ5eLeLZwZ6zkRry8bDWNTQck,Police Stations
Kathmandu Valley Traffic Police Office,01-5319641,"M8XC+MH3, Kathmandu 44600, Nepal",27.699128,85.32141779999999,https://traffic.nepalpolice.gov.np/,ChIJMxSjAn8Z6zkR6rP5vkf3Gp0,Police Stations
"Nepal Police Headquarters,Naxal",985-1285920,"P88H+948, Sama Marg, Kathmandu 44600, Nepal",27.7159129,85.327837,http://www.nepalpolice.gov.np/,ChIJgRRs6fgZ6zkRltEJ2GBqnus,Police Stations
Police Circle Kalimati,985-1283016,"M7WX+WQ8, विश्वविद्यालय पथ, Kathmandu 44614, Nepal",27.697289,85.299452,,ChIJy3DDv1sY6zkRqImfNFF0Js0,Police Stations
Traffic Police Sector Kalanki,,"M7RM+4J4, रिङ्ग रोड, Kathmandu 44614, Nepal",27.690274,85.284087,https://traffic.nepalpolice.gov.np/,ChIJ56h8t28Y6zkRJtcCaiPsjo8,Police Stations
Maharajgunj Police Station,985-1283007,"P8QQ+QCV, Ring Rd, Kathmandu 44600, Nepal",27.7394797,85.33855199999999,http://www.nepalpolice.gov.np/,ChIJGaUNOUYZ6zkRZER6pEfVAZo,Police Stations
"District Police Range, Lalitpur",01-5521350,"M8F6+GXV, Lalitpur 44700, Nepal",27.6738521,85.31243099999999,http://nepalpolice.gov.np,ChIJ9QXoJDMY6zkRZxUno0sqdwI,Police Stations
"Police Circle, Durbarmarg, kathmandu",985-1283003,"P879+56R, Durbar Marg, Kathmandu 44600, Nepal",27.7129913,85.31800770000001,,ChIJS8zVp6wZ6zkRfH-4_RS-oeg,Police Stations
Temporary Police Post,,"P8M5+894, गोंगबु मार्ग, Kathmandu 44600, Nepal",27.733263,85.308448,,ChIJe2n1HdwY6zkRa7JB-jroJPk,Police Stations
Police bit,,"M8WW+P62, Kareshwor Marga, Kathmandu 44600, Nepal",27.6967733,85.3455201,,ChIJnfO0ZI8Z6zkRVR2wiwl-pU4,Police Stations
"Metropolitan Police Circle, cowshed",,"गौशाला, चन्‍दर्‍ विनायक मार्ग, Kathmandu 44602, Nepal",27.7121665,85.3387106,,ChIJ81Aa93MZ6zkRZl7DnoCLAoc,Police Stations
Police Post,01-4354568,"बालाजु-१६, Basantanagar, Tarakeshwar 44600, Nepal",27.739249,85.3095429,,ChIJn1X96NkY6zkRRL4yCE4nNzE,Police Stations
Metropolitan Police Circle,01-4222757,"P853+HHX, Chittadhar Marg, Kathmandu 44600, Nepal",27.7089947,85.30398819999999,,ChIJF5KJxPkY6zkRRn9i3PgRjRU,Police Stations
Tourist Police Office Nepal,01-4247041,"Kathmandu 44600, Nepal",27.7015158,85.3171187,http://www.nepalpolice.gov.np/,ChIJw2huuqsZ6zkRlduy13HWoNM,Police Stations
Mahanagariya police beat,,"P86Q+P6H, Kathmandu 44600, Nepal",27.7118109,85.3381045,,ChIJYerTHakZ6zkRje1NcOmN5C4,Police Stations
Police Circle Boudha,985-1283010,"Baudha 6, Boudha Rd, Kathmandu 44600, Nepal",27.7203314,85.3597937,http://www.nepalpolice.gov.np/,ChIJu5cEjNkb6zkRoSYjc7eYq74,Police Stations
"Mahanagar Police Beat, Midbaneshwor",,"M8WQ+73V, Kathmandu 44600, Nepal",27.6957275,85.3376725,,ChIJH4ybx5kZ6zkRlPLMXIKKRHY,Police Stations
Police Sector Gangahiti,,"44602, काठमाडौँ 44602, Nepal",27.7203945,85.34278049999999,,ChIJQwXkpW8Z6zkRpjdxmpV_Mk8,Police Stations
Police Station,,"M8R2+P7M, Kathmandu 44600, Nepal",27.6918333,85.3006608,,ChIJf75l30QY6zkRRqa0LpLupl4,Police Stations
"Traffic Police Sector, Koteshwor",01-4600666,"M8HX+6P2, Araniko Highway, Kathmandu 44600, Nepal",27.6780024,85.3492806,https://traffic.nepalpolice.gov.np/,ChIJ42JQ8PMZ6zkRJxVpqMdl1u0,Police Stations
Panchakanya Police Station,,"P8MQ+2GC, Chundevi Marg, Kathmandu 44600, Nepal",27.7325538,85.33877129999999,,ChIJvesADOwZ6zkR9QrfNbWf3Qw,Police Stations
Mahankal Boudha Police Station,,"Unnamed Road, Kathmandu 44600, काठमाडौँ 44600, Nepal",27.7223103,85.35480729999999,,ChIJy-GbzZcZ6zkR1m6_FU0wyiI,Police Stations
Police station,01-4471772,"M9X2+JGC, Sleshmantak Street, Kathmandu 44600, Nepal",27.699073,85.3512729,,ChIJt61m6oYZ6zkRVmxUhBG6UGA,Police Stations
सामुदायिक पप्रहरी सेवा केन्द्र,01-4155288,"M8JR+4GM, Sahyoginagar Marga, Kathmandu 44600, Nepal",27.680337,85.341309,,ChIJNY_18OwZ6zkRQswAC1CKSok,Police Stations
Police Station,,"Shahid Marg, Kathmandu 44600, Nepal",27.7117652,85.3371473,,ChIJfVrgmtMZ6zkRZjkzJ-7DXEY,Police Stations
Police bit Swayambhu marg,01-4471772,"P922+WMC, शम्भु मार्ग, Kathmandu 44600, Nepal",27.702322,85.35164700000001,,ChIJuf0SF4EZ6zkRUyJ7P4X6pCI,Police Stations
Maitidevi Police Post,985-1284001,"P83M+H3W, Kathmandu 44600, Nepal",27.703985,85.3327159,,ChIJnditRqAZ6zkRQClQ79ow6qE,Police Stations
Metropolitan Temporary Police Beat,985-1283003,"P8FC+3MC, नील सरस्वती मार्ग, Kathmandu 44600, Nepal",27.72269,85.3216425,,ChIJZ2zuKxoZ6zkROM-WtrGzgO8,Police Stations
"Police Headquarters, Character Verification Section",01-4412783,"P88H+7C2, Sama Marg, Kathmandu 44600, Nepal",27.7156256,85.32852299999999,,ChIJc3uLRWQZ6zkRxaXBPSS6nis,Police Stations
"Mahanagariya Prahari Prabhag, Balkumari Police Station",985-1286801,"M8CP+P7M, Lalitpur 44600, Nepal",27.671837,85.3356751,,ChIJ8wTtbOgZ6zkRP83EKJV_4nY,Police Stations
काठमाण्डौ उपत्यका अपराध अनुसन्धान कार्यालय (Kathmandu Valley Crime Division),985-1283032,"M8PP+6G5, Suruchi Marga, Kathmandu 44600, Nepal",27.6855066,85.33637039999999,,ChIJCwMvU0sZ6zkRD4ttdTVmBNg,Police Stations
Community Police Service Center,,"P84F+QMQ, Kumari Marg, Kathmandu 44600, Nepal",27.7069582,85.3242472,,ChIJU-POShUZ6zkREzHPm-jI-yQ,Police Stations
Metropolitian Police Station Lagankhel,,"M89F+3FJ, Lalitpur 44700, Nepal",27.6677238,85.323649,https://www.nepalpolice.gov.np/,ChIJWc08fNAZ6zkRgHdgaKPSzck,Police Stations
Om Kareshwor Police Post,,"M8WW+M6R, Kathmandu 44600, Nepal",27.6967496,85.3455067,,ChIJt8VOe48Z6zkRbCAQP2fw7kw,Police Stations
Nepal Police Club,,"P839+364, Pradarshani Marg, Kathmandu 44600, Nepal",27.7026279,85.318067,,ChIJEbJmMqoZ6zkRoFPZ8s-9X9M,Police Stations
Nepal Police Hospital,01-4412430,"Krishna Dhara Marg, Kathmandu 44600, Nepal",27.7312052,85.32338709999999,https://nph.nepalpolice.gov.np/,ChIJH7w4NT0Z6zkR1Bsu0nJbKx0,Police Stations
Armed Police Force No.21 BN HQ Dakshinkali Lalitpur,01-5424445,"M83H+682, Godawari Sadak, ललितपुर 44700, Nepal",27.6530125,85.3282656,,ChIJky_YCWQX6zkRygoVXWxxcZc,Police Stations
Dhobichaur police station,,"P864+WVG, Indrayani Galli, Kathmandu 44600, Nepal",27.7123075,85.3072068,https://www.nepalpolice.gov.np/,ChIJm3f46vsY6zkRsrafdvLpkUo,Police Stations
Traffic Police Station,,"M8Q8+C9F, Lalitpur 44600, Nepal",27.688557,85.3159287,,ChIJ1yY5d7MZ6zkRsH4tajfw5zE,Police Stations
Metropolitian Police Circle,,"44600 Ring Rd, Lalitpur 44700, Nepal",27.6596137,85.32688089999999,,ChIJKYFo-9gZ6zkRcQ6XpxUCiAg,Police Stations
